distance_m,resolution_px,panel_px,px_per_module,decode_rate,detect_rate
0.05,64,81.1,2.795,1.0,1.0
0.05,96,121.6,4.193,1.0,1.0
0.05,128,162.1,5.59,1.0,1.0
0.05,256,324.2,11.18,1.0,1.0
0.05,512,648.4,22.36,1.0,1.0
0.05,1280,1621.1,55.9,1.0,1.0
0.075,64,54.0,1.863,0.9166666666666666,1.0
0.075,96,81.1,2.795,1.0,1.0
0.075,128,108.1,3.727,1.0,1.0
0.075,256,216.1,7.453,1.0,1.0
0.075,512,432.3,14.907,1.0,1.0
0.075,1280,1080.7,37.267,1.0,1.0
0.1,64,40.5,1.398,0.0,1.0
0.1,96,60.8,2.096,1.0,1.0
0.1,128,81.1,2.795,1.0,1.0
0.1,256,162.1,5.59,1.0,1.0
0.1,512,324.2,11.18,1.0,1.0
0.1,1280,810.6,27.95,1.0,1.0
0.15,64,27.0,0.932,0.0,0.0
0.15,96,40.5,1.398,0.0,1.0
0.15,128,54.0,1.863,0.9166666666666666,1.0
0.15,256,108.1,3.727,1.0,1.0
0.15,512,216.1,7.453,1.0,1.0
0.15,1280,540.4,18.633,1.0,1.0
0.25,64,16.2,0.559,0.0,0.0
0.25,96,24.3,0.839,0.0,0.08333333333333333
0.25,128,32.4,1.118,0.0,0.4166666666666667
0.25,256,64.8,2.236,1.0,1.0
0.25,512,129.7,4.472,1.0,1.0
0.25,1280,324.2,11.18,1.0,1.0
0.4,64,10.1,0.349,0.0,0.0
0.4,96,15.2,0.524,0.0,0.0
0.4,128,20.3,0.699,0.0,0.16666666666666666
0.4,256,40.5,1.398,0.0,1.0
0.4,512,81.1,2.795,1.0,1.0
0.4,1280,202.6,6.988,1.0,1.0
0.6,64,6.8,0.233,0.0,0.0
0.6,96,10.1,0.349,0.0,0.0
0.6,128,13.5,0.466,0.0,0.0
0.6,256,27.0,0.932,0.0,0.0
0.6,512,54.0,1.863,0.9166666666666666,1.0
0.6,1280,135.1,4.658,1.0,1.0
0.9,64,4.5,0.155,0.0,0.0
0.9,96,6.8,0.233,0.0,0.0
0.9,128,9.0,0.311,0.0,0.0
0.9,256,18.0,0.621,0.0,0.0
0.9,512,36.0,1.242,0.0,0.9166666666666666
0.9,1280,90.1,3.106,1.0,1.0
1.25,64,3.2,0.112,0.0,0.0
1.25,96,4.9,0.168,0.0,0.0
1.25,128,6.5,0.224,0.0,0.0
1.25,256,13.0,0.447,0.0,0.0
1.25,512,25.9,0.894,0.0,0.16666666666666666
1.25,1280,64.8,2.236,1.0,1.0
1.5,64,2.7,0.093,0.0,0.0
1.5,96,4.1,0.14,0.0,0.0
1.5,128,5.4,0.186,0.0,0.0
1.5,256,10.8,0.373,0.0,0.0
1.5,512,21.6,0.745,0.0,0.0
1.5,1280,54.0,1.863,0.9166666666666666,1.0
2.0,64,2.0,0.07,0.0,0.0
2.0,96,3.0,0.105,0.0,0.0
2.0,128,4.1,0.14,0.0,0.0
2.0,256,8.1,0.28,0.0,0.0
2.0,512,16.2,0.559,0.0,0.08333333333333333
2.0,1280,40.5,1.398,0.0,1.0
3.0,64,1.4,0.047,0.0,0.0
3.0,96,2.0,0.07,0.0,0.0
3.0,128,2.7,0.093,0.0,0.0
3.0,256,5.4,0.186,0.0,0.0
3.0,512,10.8,0.373,0.0,0.0
3.0,1280,27.0,0.932,0.0,0.08333333333333333
